user_genome	Domain	phylum	class	order	family	genus	species
AtH2023_ERR7197542_MAG3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sodaliphilus	Sodaliphilus sp004557565
AtH2023_ERR7197542_MAG4	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp000433355
AtH2023_ERR7197542_MAG5	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger qucibialis
AtH2023_ERR7197542_MAG6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp900319905
AtH2023_ERR7197545_MAG1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp000434975
AtH2023_ERR7197545_MAG2	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Alloprevotella	Alloprevotella sp004555425
AtH2023_ERR7197555_MAG1	Bacteria	Bacillota_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera elsdenii
AtH2023_ERR7197578_MAG1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp004552115
AtH2023_ERR7197578_MAG2	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA4372	UBA4372 sp900766785
AtH2023_ERR7197578_MAG3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp004554455
AtH2023_ERR7197580_MAG01	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Treponemataceae	Treponema_D	Treponema_D sp900769985
AtH2023_ERR7197580_MAG02	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus alactolyticus
AtH2023_ERR7197580_MAG03	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp016295455
AtH2023_ERR7197580_MAG04	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P3	Onthomorpha	Onthomorpha sp004551865
AtH2023_ERR7197580_MAG05	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA4334	UBA4334 sp900316975
AtH2023_ERR7197580_MAG06	Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-138	RGIG1693	RGIG1693 sp016293975
AtH2023_ERR7197580_MAG07	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus amylovorus
AtH2023_ERR7197580_MAG08	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-177	CAG-177 sp900771185
AtH2023_ERR7197580_MAG09	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Vescimonas	Vescimonas sp004555205
AtH2023_ERR7197580_MAG10	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter sp900142475
AtH2023_ERR8314731_MAG1	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	SFIE01	SFIE01 sp004555405
